13600: the
8127: of
6542: and
5845: a
4787: to
4606: in
3035: his
2712: he
2432: I
2391: with
2168: that
2005: was
1894: on
1789: for
1679: it
1505: her
1362: you
1245: is
1217: at
1173: by
1113: him
1099: as
1042: all
1031: The
1011: from
939: or
908: He
824: be
769: she
768: they
766: had
760: out
737: not
708: my
699: Mr
677: their
661: up
649: like
640: me
617: have
590: an
558: A
498: one
497: them
494: And
493: about
482: when
480: said.
472: were
463: are
458: what
456: which
451: your
450: says
450: so
438: if
428: Bloom
428: there
425: but
423: said
419: old
392: over
377: this
367: down
364: no
349: would
347: then
344: after
342: who
324: into
315: Stephen
305: did
302: What
302: two
300: its
299: do
299: off
288: will
285: those
283: some
282: see
280: could
280: we
276: BLOOM:
271: man
268: other
264: said,
263: little
262: has
252: She
252: back
246: too
238: His
238: it.
238: more
238: our
235: You
233: time
231: through
230: know
225: good
224: get
223: THE
217: But
217: eyes
214: round
213: They
211: only
209: now
208: under
206: long
204: any
203: never
202: where
198: put
197: way
196: very
195: hand
194: It
192: been
191: _(He
190: us
189: him.
188: just
187: came
186: In
184: can
181: go
180: before
179: first
175: John
175: going
175: went
171: made
169: because
169: than
167: J.
164: That
164: being
163: All
163: thing
162: young
158: Mrs
157: make
153: come
152: always
151: must
150: face
150: himself
149: say
147: got
147: last
146: me.
146: night
145: day
145: ever
145: name
144: head
144: might
143: much
142: left
139: took
139: without
138: poor
138: saw
138: street
138: told
136: something
135: let
135: white
133: him,
133: how
133: new
133: right
133: though
132: am
132: well
130: --I
130: Then
130: upon
129: and,
129: own
129: same
128: I'm
128: O
128: don't
128: most
127: Father
127: tell
127: till
125: woman
123: again
123: against
123: between
123: every
123: look
123: want
121: To
121: bit
121: give
121: such
120: turned
119: course
119: towards
118: God
118: gave
118: take
116: Dedalus
115: Mulligan
115: away
115: it,
114: here
114: you.
113: hat
112: O,
111: We
111: black
111: that.
111: too.
110: S.
110: behind
110: three
110: voice
108: How
107: For
107: My
106: heard
105: years
104: even
104: house
103: having
103: think
102: Buck
102: bloody
102: still
102: while
101: Not
101: great
101: now.
101: you,
100: I'll
100: If
100: along
100: half
99: life
98: hands
97: No
96: big
96: door
96: fellow
96: looked
95: men
95: them.
94: near
94: place
94: read
94: thought
92: Irish
92: With
92: knew
92: love
92: yes
91: dark
91: high
91: looking
90: *
90: --The
90: call
90: coming
90: hear
90: her.
90: kind
90: wife
90: world
89: STEPHEN:
89: these
89: things
88: So
88: father
87: Martin
87: once
86: asked
86: stood
85: full
85: home
85: sir.
84: me,
84: passed
83: another
82: On
82: both
82: each
82: side
81: Miss
81: Who
81: far
81: feel
81: should
80: Her
80: There
80: does
80: there.
79: Bloom,
79: Why
79: brought
79: suppose
79: up.
78: Project
78: light
78: past
77: asked.
77: best
77: red
77: time.
77: water
76: By
76: open
76: used
75: called
75: is.
75: mouth
75: word
74: Dublin
74: One
74: Yes,
74: better
74: hair
73: Where
73: ZOE:
73: anything
73: few
73: it's
73: it?
72: He's
72: That's
72: work
71: dead
71: may
71: walked
71: women
70: lost
69: Must
69: heart
69: that,
68: he,
68: many
68: mother
67: As
67: It's
67: Joe.
67: here.
67: second
66: de
66: on.
66: quite
65: Henry
65: Lenehan
65: find
65: sure
65: why
64: --And
64: Cunningham
64: Do
64: morning
64: seen
64: set
63: --Yes,
63: At
63: bad
63: blue
63: case
63: eye
63: money
63: out.
63: son
62: Conmee
62: feet
62: five
62: gentleman
62: street,
62: street.
61: From
61: Or
61: Stephen's
61: didn't
61: lord
61: professor
61: words
60: I.
60: _(She
60: four
60: shall
59: Bloom.
59: This
59: all.
59: also
59: gold
59: held
59: letter
59: see.
58: An
58: knows
58: next
58: you?
57: Like
57: bed
57: corner
57: getting
57: green
57: keep
57: land
57: nothing
57: that's
57: there,
56: No,
56: air
56: foot
56: paper
55: Lord
55: among
55: found
55: her,
55: lovely
55: sweet
54: Let
54: again.
54: back.
54: felt
54: grey
54: lay
54: myself
54: nor
54: times
54: wanted
53: Bloom's
53: Did
53: Gutenberg-tm
53: book
53: done
53: end
53: hes
53: nice
53: often
53: point
53: them,
52: Is
52: Leopold
52: across
52: around
52: believe
52: eyes.
52: girl
52: he's
52: human
52: man,
52: matter
52: ought
52: turn
52: whole
51: Good
51: arms
51: cold
51: fine
51: in.
51: large
51: life.
51: man.
51: sea
51: taking
51: ten
51: year
50: Ill
50: Just
50: Of
50: Power
50: _(In
50: comes
50: days
50: dear
50: hard
50: he.
50: one,
50: talking
49: Im
49: Stephen,
49: When
49: laid
49: right.
49: that?
48: Haines
48: _(The
48: brown
48: lips
48: met
48: wouldn't
47: Cissy
47: enough
47: fair
47: forth
47: hand.
47: moment
47: number
47: rather
47: write
46: --What
46: Ben
46: Old
46: Our
46: Still
46: There's
