1568: the
1042: and
756: of
709: a
709: to
524: in
403: was
401: his
369: he
311: that
307: with
300: it
236: I
223: as
200: had
197: you
196: said
195: for
180: have
169: were
161: Scrooge
161: not
155: or
152: The
152: on
149: at
143: be
141: they
136: by
125: its
124: all
120: is
119: this
116: upon
115: him
114: but
102: from
101: He
100: their
95: so
94: which
83: if
82: "I
81: no
79: an
78: Project
77: would
76: up
75: It
75: one
74: very
71: Scrooge.
71: when
70: any
70: my
69: there
68: it,
67: out
64: Christmas
63: are
63: who
62: Scrooge,
60: old
59: been
59: could
59: what
58: like
57: little
56: into
55: about
55: her
55: me
54: do
54: your
53: Gutenberg-tm
51: down
50: But
48: man
48: them
47: Scrooge's
46: cried
46: good
45: Ghost
44: know
44: she
44: than
43: before
43: such
41: other
40: am
40: made
40: might
40: more
40: see
40: work
37: own
37: some
36: came
36: did
36: it.
35: Spirit
35: went
35: will
34: being
34: time
33: A
33: If
33: They
33: don't
33: every
33: never
33: through
32: And
32: him,
32: may
31: can
31: how
31: looked
31: we
31: where
30: great
30: must
30: now
30: round
30: these
29: Mrs.
29: There
29: him.
29: two
28: much
27: another
27: electronic
27: should
27: though
26: "You
26: himself
26: nothing
26: off
25: hand
25: has
25: only
25: people
25: quite
25: young
24: Bob
24: last
24: without
23: ever
23: full
23: returned
22: Ghost.
22: Tiny
22: You
22: light
22: sat
22: works
21: Gutenberg
21: asked
21: done
21: make
21: many
21: merry
21: poor
21: saw
20: In
20: got
20: hands
20: long
20: looking
20: put
20: said,
20: thought
19: "What
19: Ghost,
19: come
19: knew
19: left
19: say
19: set
19: stood
19: terms
19: towards
18: after
18: face
18: our
18: same
17: "and
17: again.
17: among
17: door,
17: give
17: over
17: shall
17: think
16: Cratchit
16: always
16: back
16: each
16: eyes
16: head
16: until
16: while
15: "It's
15: This
15: To
15: behind
15: dark
15: first
15: hear
15: hope
15: kind
15: me,
15: pointed
15: replied
15: room
15: them,
15: this,
15: time,
15: told
15: walked
14: "A
14: "And
14: Bob,
