4205: the
4121: to
3660: of
3309: and
1945: a
1858: her
1812: in
1796: was
1739: I
1418: that
1356: not
1306: she
1209: be
1168: his
1126: had
1118: as
1039: with
1038: he
1003: for
987: you
952: it
817: have
806: is
766: Mr.
752: at
648: on
633: by
609: but
583: my
542: were
529: all
519: so
509: which
501: been
500: him
497: could
480: from
472: they
466: very
457: would
428: no
407: their
400: your
398: Elizabeth
386: will
384: what
371: such
359: this
358: or
348: an
343: said
338: Mrs.
325: are
307: must
305: She
305: am
296: "I
296: any
289: more
288: much
281: than
279: when
271: The
270: Miss
267: do
264: them
261: me
250: who
249: there
244: if
244: should
238: But
226: one
222: did
215: Darcy
210: He
210: has
209: never
203: only
200: It
199: some
198: soon
197: though
195: can
195: might
192: we
191: know
191: may
190: think
183: every
182: most
173: without
172: being
170: other
168: Bennet
165: little
164: make
162: before
162: how
161: after
160: now
157: shall
155: Jane
153: good
149: Bingley
148: own
143: nothing
143: see
139: into
136: Elizabeth,
136: time
131: great
130: Lady
130: then
128: first
127: herself
127: it,
126: You
123: young
120: made
119: two
119: well
116: always
115: give
114: They
114: her,
114: too
112: cannot
112: however,
110: about
110: ever
108: many
108: say
107: it.
104: dear
104: its
100: Collins
100: and,
99: last
98: him,
98: out
97: thought
96: Darcy,
96: quite
94: hope
94: saw
94: wish
93: up
91: sister
90: felt
89: Bennet,
89: having
89: her.
89: man
87: Wickham
85: And
84: till
83: Her
83: again
82: "You
82: long
82: where
82: whom
81: Catherine
81: us
80: even
80: often
79: Lydia
79: really
78: Project
78: day
78: go
77: cried
77: take
76: In
76: came
76: enough
74: heard
73: His
73: family
73: him.
73: less
73: like
73: me,
72: replied
72: you,
71: Jane,
71: father
71: few
71: letter
71: our
70: If
70: come
70: does
70: looked
70: whole
69: still
68: himself
68: told
67: My
67: When
66: next
66: towards
65: believe
65: just
65: left
65: manner
65: upon
65: went
64: anything
64: nor
64: seemed
64: seen
64: something
64: them,
64: way
63: mother
62: "And
62: Colonel
62: sure
61: Chapter
61: better
61: down
61: found
61: ladies
61: pleasure
60: almost
60: certainly
60: done
60: tell
59: between
59: feelings
59: same
59: seeing
59: whose
58: away
58: hear
58: over
58: part
58: received
57: each
57: friend
57: love
57: while
55: Bingley,
55: because
55: happy
55: leave
55: yet
54: gave
54: rather
54: speak
53: Gutenberg-tm
53: able
53: coming
53: find
53: going
53: knew
53: present
53: them.
53: those
53: three
52: As
52: against
52: began
52: far
52: least
52: passed
52: these
52: took
51: given
51: means
51: since
51: sister,
50: get
49: "But
49: This
49: herself,
49: myself
49: whether
48: "It
48: There
48: work
47: Bingley's
47: Charlotte
47: Gardiner
47: both
47: known
47: look
46: Longbourn
46: Sir
46: To
46: behaviour
46: hardly
46: uncle
45: We
45: What
45: either
45: kind
45: let
45: perfectly
45: she,
44: half
44: house
43: Netherfield
43: again,
43: attention
43: happiness
43: off
43: once
43: opinion
43: scarcely
43: sisters
43: subject
42: "Oh!
42: general
42: gone
42: morning
42: therefore,
42: walked
42: want
41: "My
41: At
41: Darcy's
41: affection
41: another
41: conversation
41: help
41: time,
41: turned
40: Collins,
40: How
40: certain
40: evening
40: immediately
40: through
39: Lucas
39: asked
39: assure
39: de
39: idea
39: people
39: person
38: Lizzy,
38: Lydia's
38: dare
38: room,
37: "that
37: A
37: Elizabeth's
37: Kitty
37: Wickham,
37: family,
37: marriage
37: object
37: ought
37: return
37: returned
37: sat
37: set
37: talked
36: After
36: aunt
36: brought
36: called
36: house,
36: lady
36: me.
36: place
36: reason
36: room
36: sister's
36: visit
35: convinced
35: daughter
35: everything
35: eyes
35: feel
35: glad
35: he,
35: settled
35: sort
35: terms
35: under
35: walk
35: woman
35: you.
34: beyond
34: course
34: herself.
34: mind
34: moment
34: near
34: talking
34: that,
34: thousand
34: within
33: "and
33: afraid
33: believed
33: best
33: expect
33: ill
33: likely
33: making
33: mother,
33: perhaps
33: write
32: "Yes,
32: On
32: Their
32: agreeable
32: continued
32: different
32: entered
32: father,
32: former
32: indeed,
32: merely
32: power
32: read
32: regard
32: rest
32: short
32: wished
31: Wickham's
31: William
31: added
31: back
31: character
31: manners
31: marry
31: met
31: neither
31: party
31: sometimes
31: spoke
31: therefore
31: town
30: *
30: account
30: added,
30: also
30: brother
30: business
30: carriage
30: consider
30: exactly
30: gentlemen
30: honour
30: particularly
30: put
30: room.
30: said,
30: stay
30: taken
29: "If
29: Bennet's
29: Pemberley
29: appear
29: aunt,
29: before,
29: feeling
29: four
29: it;
29: life
29: married
29: receive
29: resolved
29: suppose
29: ten
28: "What
28: Elizabeth.
28: acquaintance
28: again.
28: comfort
28: days
28: deal
28: full
28: girls
28: home
28: impossible
28: it."
28: joined
28: opportunity
28: point
28: real
28: right
28: sense
28: whatever
28: which,
28: younger
28: yourself
27: "but
27: Gardiner,
27: Lydia,
27: With
27: Your
27: afterwards
27: assured
27: call
27: easily
27: electronic
27: engaged
27: five
27: here
27: highly
27: him;
27: is,
27: longer
27: mention
27: other,
27: years
26: "How
26: Do
26: Hurst
26: Jane's
26: all,
26: all.
26: answer
26: answered
26: care
26: determined
26: equal
26: instantly
26: keep
26: looking
26: obliged
26: particular
26: pleased
26: possible
26: situation
26: usual
26: why
25: Forster
25: allow
25: allowed
25: appearance
25: ask
25: doubt
25: during
25: early
25: got
25: him."
25: know,
25: knowing
25: lost
25: new
25: sensible
25: side
25: sorry
25: talk
25: thus
25: wholly
24: But,
24: Collins's
24: Had
24: Mary
24: Meryton
24: That
24: advantage
24: air
24: among
24: daughters
24: day,
24: dear,
24: else
24: end
24: family.
24: following
24: friends
24: giving
24: invitation
24: letter,
24: liked
24: man,
24: meet
24: mentioned
24: mother's
24: name
24: offer
24: others
24: speaking
24: who,
24: world
23: already
23: attended
23: away,
23: bear
23: expected
23: expressed
23: fine
23: himself,
23: meant
23: occasion
23: poor
23: prevented
23: pride
23: respect
23: said:
23: say,
23: several
23: spirits
23: spite
23: them;
23: together
23: walking
23: wanted
23: wife
23: wonder
22: "He
22: London
22: Longbourn,
22: anyone
22: attentions
22: away.
22: but,
22: change
22: cousin
22: credit
22: daughter,
22: hope,
22: husband
22: length
22: morning,
22: probably
22: replied,
22: satisfied
22: second
22: small
22: spent
22: supposed
22: turn
22: understand
22: whenever
22: wishes
22: word
22: works
21: "That
21: Darcy.
21: Elizabeth;
21: Gutenberg
21: Rosings
21: amiable
21: anxious
21: arrival
21: civility
21: compliment
21: country
21: degree
21: delighted
21: depend
21: entirely
21: except
21: followed
21: girl
21: heart
21: hours
21: inquiries
21: kindness
21: mean
21: paid
21: place,
21: saying
21: send
21: state
21: subject,
20: "This
20: Catherine,
20: Let
20: acquainted
20: appeared
20: astonishment
20: before.
20: brother,
20: considered
20: endeavour
20: equally
20: forced
20: forward
20: frequently
20: greatest
20: listened
20: minutes
20: necessary
20: on,
20: perhaps,
20: persuaded
20: proper
20: sent
20: serious
20: sister.
20: so,
20: sure,
20: surprise
20: then,
20: thing
20: use
20: used
20: well.
20: world,
